date,type,fuel,registrations
2015-10-01,all_types,all_fuels,96889
2015-11-01,all_types,all_fuels,93559
2015-12-01,all_types,all_fuels,109234
2016-01-01,all_types,all_fuels,96461
2016-02-01,all_types,all_fuels,78677
2016-03-01,all_types,all_fuels,97687
2016-04-01,all_types,all_fuels,84966
2016-05-01,all_types,all_fuels,86658
2016-06-01,all_types,all_fuels,101207
2016-07-01,all_types,all_fuels,77641
2016-08-01,all_types,all_fuels,99568
2016-09-01,all_types,all_fuels,92331
2016-10-01,all_types,all_fuels,91425
2016-11-01,all_types,all_fuels,90479
2016-12-01,all_types,all_fuels,104685
2017-01-01,all_types,all_fuels,95378
2017-02-01,all_types,all_fuels,88437
2017-03-01,all_types,all_fuels,108157
2017-04-01,all_types,all_fuels,86748
2017-05-01,all_types,all_fuels,98523
2017-06-01,all_types,all_fuels,91116
2017-07-01,all_types,all_fuels,91268
2017-08-01,all_types,all_fuels,101654
2017-09-01,all_types,all_fuels,82151
2017-10-01,all_types,all_fuels,94736
2017-11-01,all_types,all_fuels,93748
2017-12-01,all_types,all_fuels,94318
2018-01-01,all_types,all_fuels,101515
2018-02-01,all_types,all_fuels,85197
2018-03-01,all_types,all_fuels,102825
2018-04-01,all_types,all_fuels,100182
2018-05-01,all_types,all_fuels,84874
2018-06-01,all_types,all_fuels,114094
2018-07-01,all_types,all_fuels,129986
2018-08-01,all_types,all_fuels,130709
2018-09-01,all_types,all_fuels,79125
2018-10-01,all_types,all_fuels,102394
2018-11-01,all_types,all_fuels,91881
2018-12-01,all_types,all_fuels,96227
2019-01-01,all_types,all_fuels,114644
2019-02-01,all_types,all_fuels,82585
2019-03-01,all_types,all_fuels,111982
2019-04-01,all_types,all_fuels,109052
2019-05-01,all_types,all_fuels,119446
2019-06-01,all_types,all_fuels,80715
2019-07-01,all_types,all_fuels,113018
2019-08-01,all_types,all_fuels,107914
2019-09-01,all_types,all_fuels,96019
2019-10-01,all_types,all_fuels,108761
2019-11-01,all_types,all_fuels,102526
2019-12-01,all_types,all_fuels,112357
2020-01-01,all_types,all_fuels,106116
2020-02-01,all_types,all_fuels,104794
2020-03-01,all_types,all_fuels,59449
2020-04-01,all_types,all_fuels,1585
2020-05-01,all_types,all_fuels,59899
2020-06-01,all_types,all_fuels,102203
2020-07-01,all_types,all_fuels,125712
2020-08-01,all_types,all_fuels,111551
2020-09-01,all_types,all_fuels,122910
2020-10-01,all_types,all_fuels,121921
2020-11-01,all_types,all_fuels,117671
2020-12-01,all_types,all_fuels,130187
2021-01-01,all_types,all_fuels,98133
2021-02-01,all_types,all_fuels,102747
2021-03-01,all_types,all_fuels,157601
2021-04-01,all_types,all_fuels,133921
2021-05-01,all_types,all_fuels,103197
2021-06-01,all_types,all_fuels,11219
2021-07-01,all_types,all_fuels,28597
2021-08-01,all_types,all_fuels,46521
2021-09-01,all_types,all_fuels,100715
2021-10-01,all_types,all_fuels,130564
2021-11-01,all_types,all_fuels,127477
2021-12-01,all_types,all_fuels,152167
2022-01-01,all_types,all_fuels,93644
2022-02-01,all_types,all_fuels,91616
